in s,C1 in V
1.74630240E-03,-2.12402E+00
1.74631120E-03,-2.08496E+00
1.74632000E-03,-2.11426E+00
1.74632880E-03,-2.13379E+00
1.74633760E-03,-2.14355E+00
1.74634640E-03,-2.14355E+00
1.74635520E-03,-2.15332E+00
1.74636400E-03,-2.13379E+00
1.74637280E-03,-2.11426E+00
1.74638160E-03,-2.13379E+00
1.74639040E-03,-2.15332E+00
1.74639920E-03,-2.16309E+00
1.74640800E-03,-2.14355E+00
1.74641680E-03,-2.15332E+00
1.74642560E-03,-2.13379E+00
1.74643440E-03,-2.09473E+00
1.74644320E-03,-2.13379E+00
1.74645200E-03,-2.09473E+00
1.74646080E-03,-2.12402E+00
1.74646960E-03,-2.17285E+00
1.74647840E-03,-2.14355E+00
1.74648720E-03,-2.14355E+00
1.74649600E-03,-2.12402E+00
1.74650480E-03,-2.13379E+00
1.74651360E-03,-2.13379E+00
1.74652240E-03,-2.10449E+00
1.74653120E-03,-2.15332E+00
1.74654000E-03,-2.15332E+00
1.74654880E-03,-2.15332E+00
1.74655760E-03,-2.12402E+00
1.74656640E-03,-2.14355E+00
1.74657520E-03,-2.14355E+00
1.74658400E-03,-2.13379E+00
1.74659280E-03,-2.15332E+00
1.74660160E-03,-2.15332E+00
1.74661040E-03,-2.15332E+00
1.74661920E-03,-2.15332E+00
1.74662800E-03,-2.15332E+00
1.74663680E-03,-2.13379E+00
1.74664560E-03,-2.14355E+00
1.74665440E-03,-2.17285E+00
1.74666320E-03,-2.13379E+00
1.74667200E-03,-2.14355E+00
1.74668080E-03,-2.16309E+00
1.74668960E-03,-2.14355E+00
1.74669840E-03,-2.13379E+00
1.74670720E-03,-2.16309E+00
1.74671600E-03,-2.12402E+00
1.74672480E-03,-2.12402E+00
1.74673360E-03,-2.13379E+00
1.74674240E-03,-2.14355E+00
1.74675120E-03,-2.15332E+00
1.74676000E-03,-2.15332E+00
1.74676880E-03,-2.13379E+00
1.74677760E-03,-2.14355E+00
1.74678640E-03,-2.13379E+00
1.74679520E-03,-2.13379E+00
1.74680400E-03,-2.10449E+00
1.74681280E-03,-2.16309E+00
